Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)
5000			0	
5001	204 22	#at 10 10 #dispose	10	Grandpapa?
5002	204 23	#at 110 10 #dispose	15	Ja, my darling?
5003	204 24	#at 10 10 #dispose	40	Can I keep this doll? I really like her.
5004	204 25	#at 110 10 #dispose	144	Now, Katrina. You know these toys are for sale for other kinder. Besides, you've got plenty of dolls. You can play mit her, but just be careful.
5005	204 26	#at 10 10 #dispose	44	All right, Grandpapa. I'll take care of her.
5006	204 18	67 10 10 25 7	70	Come on in! Look around! Let me know if you're interested in anything.
5007	204 19	67 10 10 25 7	62	That's a fine sled, isn't it? Any child would love to have it.
5008	204 20	67 10 10 25 6	41	Yes. I was just admiring the workmanship.
5009	204 21	67 10 10 25 7	44	Danke. If you'd like to buy it, let me know.
5010	204 27	67 10 10 25 8	68	This is a fine little toyshop you have here. You must be very proud.
5011	204 28	67 10 10 25 10	110	Danke, son. I've worked very hard at it over the jahres. But you know, you need to really love it... und I do.
5012	204 29	67 10 10 25 5	38	Are most of these toys your creations?
5013	204 30	67 10 10 25 10	82	Ja, most of them. But not all. Some my son made, some I bought, some I traded for.
5014	204 31	67 10 10 25 5	21	You're very talented.
5015	204 32	67 10 10 25 8	50	Danke, danke. Well, let me know if I can help you.
5016	204 33	67 10 10 25 8	72	Wo did you get this wunderbar marionette? The craftmanship is excellent!
5017	204 34	67 10 10 25 8	81	Well, I don't know if you'll believe me or not, but I got it from a little gnome.
5018	204 35	67 10 10 25 6	38	I must have it! Can I buy it from you?
5019	204 36	67 10 10 25 6	64	Actually, you may have it...IF you'll give me the sled in trade.
5020	204 37	67 10 10 70 210 25 14	171	Why, of course! But I must tell you...I think I'm getting the better deal. I can always make another sled, but finding another marionette of this quality...ich weis nicht.
5021	204 38	67 10 10 25 5	24	So, I can have the sled?
5022	204 39	67 10 10 25 5	28	Ja, ja! Take it. It's yours.
5023	204 40	67 10 10 25 5	52	Will you take a golden needle in trade for the sled?
5024	204 41	67 10 10 25 10	127	Das is an awfully small needle, but... I'm in a generous mood today. Okay, why not! Go ahead and take the sled. It's all yours!
5025	204 42	67 10 10 25 7	51	Will you take a golden heart in trade for the sled?
5026	204 43	67 10 10 25 10	93	This beautiful golden heart is worth MUCH more than the little sled! Are you sure about this?
5027	204 44	67 10 10 25 7	45	Yes, I'm sure. I would like to have the sled.
5028	204 45	67 10 10 25 10	78	Well...okay. But I'm getting the MUCH better deal. Go ahead und take the sled.
5029	204 46	67 10 10 25 7	48	Will you take a gold coin in trade for the sled?
5030	204 47	67 10 10 25 10	80	This gold coin is worth MUCH more than the little sled! Are you sure about this?
5031	204 48	67 10 10 25 7	45	Yes, I'm sure. I would like to have the sled.
5032	204 49	67 10 10 25 10	78	Well...okay. But I'm getting the MUCH better deal. Go ahead und take the sled.
5033	204 50	67 10 100 25 5	61	Thank you very much. I think I'll find this sled very useful.
5034	204 52	67 10 10 25 4	19	Well, you enjoy it.
5035	204 51	67 10 10 25 7	49	Well, you enjoy it. Und danke for the marionette.
5036	204 57	67 10 10 25 6	38	Can I buy the sled with a silver coin?
5037	204 58	67 10 10 25 8	88	Nein, I'm sorry. I'd love to sell it to you, but I'm afraid I need a bit more than that.
5038	204 0	#at 90 10 #dispose	67	The shipment of carving wood hasn't come in yet. What should we do?
5039	204 1	#at 90 10 #dispose	57	Papa, where did you put those new doll clothes Mama made?
5040	204 2	#at 90 10 #dispose	57	Papa, Mama wants you to know that it is almost lunchtime.
5041	204 3	#at 90 10 #dispose	61	I'm going to count up the cash receipts from yesterday, okay?
5042	204 4	#at 90 10 #dispose	34	Is Katrina behaving herself, Papa?
5043	204 5	#at 90 10 #dispose	30	Papa, wo is the puppet string?
5044	204 6	#at 90 10 #dispose	87	Papa, don't forget Mr. Richards is coming by tomorrow to pick up the wagon for his son.
5045	204 14	#at 90 10 #dispose	11	Okay, Papa.
5046	204 15	#at 90 10 #dispose	13	I'll do that.
5047	204 16	#at 90 10 #dispose	45	Okay, but let me know if she's bothering you.
5048	204 17	#at 90 10 #dispose	5	Okay.
5049	204 7	#at 10 10 #dispose	56	If it's not in by tomorrow I'll send you to the sawmill.
5050	204 8	#at 10 10 #dispose	53	Look in the trunk upstairs. I think I put them there.
5051	204 9	#at 10 10 #dispose	36	Okay, son. Tell her I'll be in soon.
5052	204 10	#at 10 10 #dispose	24	That's a good idea, son.
5053	204 11	#at 10 10 #dispose	40	She's fine, son. I've got my eye on her.
5054	204 12	#at 10 10 #dispose	54	Hmmmm. I think it's in the small cupboard. Look there.
5055	204 13	#at 10 10 #dispose	42	I haven't forgotten. It's all ready to go.
5056			0	
5057	91 0	#at 10 120 #dispose	30	Where'd you find HIM, Minotta?
5058	91 1	#at 120 120 #dispose	52	We found him on the beach. Isn't he luscious? Yummm!
5059	91 2	#at 10 120 #dispose	74	I don't know... he doesn't look like MY type. What do YOU think, Cruleena?
5060	90 1	#at 225 100 #width 70 #dispose	75	I think he looks too old and tough. I like my MEALS to be young and tender.
5061	90 2	#at 220 10 #width 80 #dispose	68	Don't be so picky. I'm tired of fish. I haven't had a man in months.
5062	90 3	#at 10 10 #width 120 #dispose	62	Yes, you did. I saw you steal a man off a raft just last week!
5063	90 4	#at 220 10 #width 80 #dispose	74	Oh, he doesn't count! He was already picked over by the time I got to him!
5064	90 5	#at 10 -1 #width 120 #dispose	32	Well, at least this one's fresh!
5065	90 6	#at 10 10 #width 120 #dispose	53	I don't know about you girls... but I'm ready to eat!
5066	90 7	#at 10 10 #width 120 #dispose	57	Oh, you're ALWAYS ready to eat. That's why you're so fat!
5067	90 8	#at 225 100 #dispose	9	I am NOT!
5068	90 9	#at 60 10 #dispose	12	You are TOO!
5069	90 8	#at 225 100 #dispose	9	I am NOT!
5070	90 9	#at 60 10 #dispose	12	You are TOO!
5071	90 10	#at 10 -1 #width 120 #dispose	35	Oh, quit arguing, girls! Let's eat!
5072	90 12	#at 10 10 #width 120 #dispose	35	What's he doing? What's that thing?
5073	90 13	#at 225 100 #width 70 #dispose	27	I don't know but I want it!
5074	90 14	#dispose	43	Hey, that's not fair! Let's get her, girls!
5075	90 15	#dispose	21	What's that he's got?
5076	90 16	#dispose	31	I don't know, and I don't CARE!
5077	90 11	#at 10 -1 #width 120 #dispose	21	Trying to escape, eh?
5078			0	
5079			0	
5080			0	
5081			0	
5082			0	
5083	24 3	67 141 110 25 5	33	Please! Let me go...I beg of you!
5084	24 4	67 8 105 25 7	46	Why should I do that? What will you do for me?
5085	24 5	67 150 101 25 7	59	I'll show you the way out of the forest...if you let me go!
5086	24 6	67 8 114 25 6	30	How do I know I can trust you?
5087	24 7	67 144 101 25 7	49	I give you my word. An elf NEVER breaks his word!
5088	24 8	67 8 105 25 6	52	Well...it's against my better judgement, but...okay.
5089	24 9	#at 110 140 #dispose	36	Move over, Rocky. You're in our way!
5090	24 10	#at 30 30 #dispose	11	Uh...sorry.
5091	24 15	67 8 106 25 4	19	Hello? Who's there?
5092	24 16	67 8 106 25 5	36	I say...who's there? Please help me.
5093	24 17	67 8 106 25 4	24	Please...oh, never mind.
5094	24 2	#dispose	22	Drat! Just missed him!
5095	81 0	#at 10 10 #dispose	19	Follow me! In here!
5096	83 2	#at 8 157 #dispose	43	Hey! Over here! I've got something for you.
5097	83 0	#at 112 8 #dispose	68	Follow that passage over there. It's the way out of the Dark Forest.
5098	83 1	#at 113 96 #dispose	96	Thank you very much for all your help. I'm sure I'll be able to find a use for these fine shoes.
5099	84 0	#at 111 127 #dispose	174	I never take anything without giving in return. For your generosity in giving me those exquisite emeralds I give you my finest pair of shoes. May they help you in your quest.
5100			0	
5101			0	
5102			0	
5103	6 3	#at 20 120 #width 270 #dispose	219	Oh, thank you, thank you, good sir! You saved my life! My children and I will never forget your kindness. Maybe someday I will be able to return the favor. Oh! I hear my children calling! Good-bye...until we meet again.
5104	86 3	#at 10 150 #width 280 #dispose	95	I told you I'd repay your kindness when you saved me from that horrible cat. Good luck, friend.
5105	35 1	67 20 20 25 8	56	Yonder's the crystal cave. There you will find the yeti.
5106			0	
5107	35 6	67 20 20 25 13	150	That is your problem...not mine. It has been decreed by Queen Icebella and I must carry out her wishes. Now, no more talking! Go! To the crystal cave!
5108	35 4	67 20 20 25 8	78	I see that the yeti is dead. Queen Icebella will be pleased. Come...follow me.
5109			0	
5110			0	
5111			0	
5112			0	
5113			0	
5114			0	
5115			0	
5116			0	
5117			0	
5118			0	
5119			0	
5120			0	
5121			0	
5122			0	
5123			0	
5124			0	
5125			0	
5126			0	
5127			0	
5128			0	
5129			0	
5130			0	
5131			0	
5132			0	
5133			0	
5134			0	
5135			0	
5136			0	
5137			0	
5138			0	
5139			0	
5140			0	
5141			0	
5142			0	
5143			0	
5144			0	
5145			0	
5146			0	
5147			0	
5148			0	
5149			0	
5150			0	
5151			0	
5152			0	
5153			0	
5154			0	
5155			0	
5156			0	
5157			0	
5158			0	
5159			0	
5160			0	
5161			0	
5162			0	
5163			0	
5164			0	
5165			0	
5166			0	
5167			0	
5168			0	
5169			0	
5170			0	
5171			0	
5172			0	
5173			0	
5174			0	
5175			0	
5176			0	
5177			0	
5178			0	
5179			0	
5180			0	
5181			0	
5182			0	
5183			0	
5184			0	
5185			0	
5186			0	
5187			0	
5188			0	
5189			0	
5190			0	
5191			0	
5192			0	
5193			0	
5194			0	
5195			0	
5196			0	
5197			0	
5198			0	
5199			0	
5200	120 5	#at 120 160 #dispose	8	Crispin!
5201	120 6	#at 40 70 #dispose	49	I have the solution to ALL your problems, Graham!
5202	121 0	#at 10 135 #width 285 #dispose	207	While you and Cedric were gone, I did some asking around, and I found out that YOUR son, Alexander, had the dubious distinction, if you may, of turning Mordack's brother, Mannanan, into a cat some time back.
5203	121 1	#at 10 145 #width 285 #dispose	153	Obviously, this deed angered Mordack who could do nothing about it since this particular spell could only be undone by the actual perpetrator...your son.
5204	121 2	#at 10 135 #width 285 #dispose	169	It doesn't take a great genius to figure out that Mordack took your family and castle in revenge to try to `persuade' Alexander to restore Mannanan back to his old self.
5205	121 3	#at 10 135 #width 285 #dispose	203	I DID discover, as now I see, that your castle and family were miniaturized and imprisoned inside a glass bottle. I did some research and found the spell for turning everything back to normal. Now watch!
5206	120 7	#at 40 70 #dispose	22	Hocus, pocus, ALIOCUS!
5207	120 8	#at 120 150 #dispose	46	Valanice! My children! My joy knows no limits!
5208	120 9	#at 40 50 #dispose	36	Oh, Father! I'm so glad you're here!
5209	120 10	#at 10 40 #dispose	62	Oh...Princess Cassima! How could I forget you! Come over here.
5210	122 0	#at 9 119 #width 285 #dispose	308	Let me introduce you to my family. This is my wife, Queen Valanice; my daughter, Princess Rosella; and my son, Prince Alexander...who started this whole mess! All of you, this is Princess Cassima from the Land of the Green Isles. Without her, none of us would be standing here now. She bravely saved my life!
5211	122 1	#at 8 146 #width 285 #dispose	147	My Lady. I am deeply in your debt and I will make it up to you. With your permission, I'd like to travel to the Land of the Green Isles to see you.
5212	120 11	#at 120 140 #dispose	94	All right! Now that we've done with all the formalities, let's get on with business, shall we?
5213	120 12	#at 110 160 #dispose	26	Higgledy, piggledly, POOH!
5214	120 13	#at 110 120 #dispose	166	Be assured that your castle is right back where it belongs...and the right size too! But NOW, it's time that everyone return to their homes...with MY help, of course.
5215	120 14	#at 110 160 #dispose	28	Alakazam, alakazoo, ALAKA...
5216	120 15	#at 10 50 #dispose	25	Wait! What about Cedric?!
5217	120 16	#at 110 160 #dispose	16	Where IS Cedric?
5218	120 17	#at 10 50 #dispose	79	Over there! Mordack may have killed him! Is there ANYTHING you can do about it?
5219	120 18	#at 110 150 #dispose	46	Hmmmmm, let me think. Ah, yes! I think I know.
5220	120 19	#at 110 150 #dispose	52	Abra...abracarbara...no. Uh, abra...codora...hmmmmm.
5221	120 20	#at 110 160 #dispose	34	Now, what IS that confounded word!
5222	120 21	#at 110 160 #dispose	8	Oh, yes!
5223	120 22	#at 110 160 #dispose	15	Abra...cadabra!
5224			0	
5225	120 23	#at 110 160 #dispose	41	Cedric, it sure is good to see YOU again!
5226	120 24	#at 180 80 #dispose	19	Likewise, I'm sure.
